segment,model,bandwidth_kbps,snr_db,pesq,stoi,encoded_shape,compression_ratio,original_bytes,encoded_bytes,encode_time_sec,decode_time_sec,total_time_sec,output_file
speech,encodec_24khz,1.5,0.59442466,1.4267857074737549,0.7298749302963028,"torch.Size([1, 2, 750])",320.0,3840000,12000,0.5407171249389648,0.19899964332580566,0.7397167682647705,speech_encodec_24khz_bw1.5kbps.wav
speech,encodec_24khz,3.0,2.4432583,1.909268856048584,0.8037599123432454,"torch.Size([1, 4, 750])",160.0,3840000,24000,0.1442711353302002,0.18980789184570312,0.3340790271759033,speech_encodec_24khz_bw3.0kbps.wav
speech,encodec_24khz,6.0,4.9322243,2.6519980430603027,0.8794659784346824,"torch.Size([1, 8, 750])",80.0,3840000,48000,0.14783167839050293,0.19144916534423828,0.3392808437347412,speech_encodec_24khz_bw6.0kbps.wav
speech,encodec_24khz,12.0,7.2678623,3.431239604949951,0.9315326071929182,"torch.Size([1, 16, 750])",40.0,3840000,96000,0.15895509719848633,0.20776891708374023,0.36672401428222656,speech_encodec_24khz_bw12.0kbps.wav
speech,encodec_24khz,24.0,8.506366,3.866689920425415,0.9586636422685141,"torch.Size([1, 32, 750])",20.0,3840000,192000,0.16905879974365234,0.19301700592041016,0.3620758056640625,speech_encodec_24khz_bw24.0kbps.wav
speech,encodec_48khz,3.0,3.3525765,1.472548007965088,0.7723044793933578,"torch.Size([1, 2, 150])",1600.0,3840000,2400,0.4079570770263672,0.5079689025878906,0.9159259796142578,speech_encodec_48khz_bw3.0kbps.wav
speech,encodec_48khz,6.0,5.799065,2.329245090484619,0.8501895042167286,"torch.Size([1, 4, 150])",800.0,3840000,4800,0.4115149974822998,0.5080909729003906,0.9196059703826904,speech_encodec_48khz_bw6.0kbps.wav
speech,encodec_48khz,12.0,8.812414,3.0179827213287354,0.9101926290181868,"torch.Size([1, 8, 150])",400.0,3840000,9600,0.4241178035736084,0.5069499015808105,0.931067705154419,speech_encodec_48khz_bw12.0kbps.wav
speech,encodec_48khz,24.0,12.010259,3.599264144897461,0.9485181068403574,"torch.Size([1, 16, 150])",200.0,3840000,19200,0.46016407012939453,0.5035178661346436,0.9636819362640381,speech_encodec_48khz_bw24.0kbps.wav
music,encodec_24khz,1.5,0.42419904,1.4241693019866943,0.5733516896799316,"torch.Size([1, 2, 750])",320.0,3840000,12000,0.14101409912109375,0.18243670463562012,0.32345080375671387,music_encodec_24khz_bw1.5kbps.wav
music,encodec_24khz,3.0,1.9077725,1.7885792255401611,0.6618572467206527,"torch.Size([1, 4, 750])",160.0,3840000,24000,0.14548397064208984,0.19324517250061035,0.3387291431427002,music_encodec_24khz_bw3.0kbps.wav
music,encodec_24khz,6.0,3.9553323,2.4010009765625,0.7590217778294531,"torch.Size([1, 8, 750])",80.0,3840000,48000,0.15518808364868164,0.20739006996154785,0.3625781536102295,music_encodec_24khz_bw6.0kbps.wav
music,encodec_24khz,12.0,5.720766,3.3140854835510254,0.8437367082500413,"torch.Size([1, 16, 750])",40.0,3840000,96000,0.159285306930542,0.20346498489379883,0.3627502918243408,music_encodec_24khz_bw12.0kbps.wav
music,encodec_24khz,24.0,6.628206,3.9657022953033447,0.9035862690151011,"torch.Size([1, 32, 750])",20.0,3840000,192000,0.17090702056884766,0.20777583122253418,0.37868285179138184,music_encodec_24khz_bw24.0kbps.wav
music,encodec_48khz,3.0,3.195326,1.8393182754516602,0.6658585735843461,"torch.Size([1, 2, 150])",1600.0,3840000,2400,0.40621471405029297,0.4971120357513428,0.9033267498016357,music_encodec_48khz_bw3.0kbps.wav
